"flybase_gene_ID" "t0" "t1" "t2" "t4" "t8" "t16" "t24"
"1" "FBgn0000003" 2 1 0 3 2 0 4
"2" "FBgn0000008" 456 218 145 114 164 101 262
"3" "FBgn0000014" 0 0 0 0 0 1 0
"4" "FBgn0000015" 1 1 0 1 1 0 0
"5" "FBgn0000017" 6078 3300 1575 2405 2445 1837 5917
"6" "FBgn0000018" 11518 6078 3530 1406 972 894 2168
"7" "FBgn0000022" 2 0 1 0 5 10 0
"8" "FBgn0000024" 7 4 0 3 2 0 8
"9" "FBgn0000028" 38 20 26 13 7 19 13
"10" "FBgn0000032" 15623 13962 13374 14580 8063 3567 3604
"11" "FBgn0000036" 2 1 0 0 0 7 1
"12" "FBgn0000037" 8 6 9 7 9 10 1
"13" "FBgn0000038" 0 0 0 0 0 0 0
"14" "FBgn0000039" 0 0 0 0 0 0 0
"15" "FBgn0000042" 1045422 972183 720412 990487 633097 287112 342868
"16" "FBgn0000043" 724756 646397 562312 424064 141339 64587 108103
"17" "FBgn0000044" 32 33 20 29 27 26 22
"18" "FBgn0000045" 0 1 4 3 1 1 4
"19" "FBgn0000046" 905 689 815 1041 715 535 526
"20" "FBgn0000047" 2 0 4 6 1 3 0
"21" "FBgn0000052" 11874 9938 10107 7405 3699 1762 5406
"22" "FBgn0000053" 15390 13257 13886 12366 8102 2693 5145
"23" "FBgn0000054" 11191 7300 3672 1837 1049 1214 2386
"24" "FBgn0000055" 0 0 0 0 0 0 0
"25" "FBgn0000056" 0 0 0 0 0 0 0
"26" "FBgn0000057" 4778 3800 3108 2236 994 510 1427
"27" "FBgn0000061" 0 1 0 0 0 1 1
"28" "FBgn0000063" 4819 2814 1295 878 535 499 1496
"29" "FBgn0000064" 55800 54624 35613 60858 50478 25768 24078
"30" "FBgn0000071" 423 433 456 356 167 139 133
"31" "FBgn0000075" 5 2 2 3 4 0 0
"32" "FBgn0000077" 4313 3119 2195 1012 565 497 573
"33" "FBgn0000078" 6 0 6 8 9 8 14
"34" "FBgn0000079" 7 7 15 7 15 11 7
"35" "FBgn0000083" 81293 74772 59245 58890 31626 16181 24053
"36" "FBgn0000084" 20411 21346 22375 28391 24555 5640 5396
"37" "FBgn0000092" 135 59 63 48 59 82 43
"38" "FBgn0000094" 271 159 101 71 83 92 103
"39" "FBgn0000097" 3900 1009 538 939 892 714 2506
"40" "FBgn0000100" 314808 330703 395383 462894 537265 257011 242941
"41" "FBgn0000108" 69 77 94 114 146 44 142
"42" "FBgn0000109" 5160 4783 4365 4585 2360 793 831
"43" "FBgn0000114" 1 0 0 0 1 1 1
"44" "FBgn0000115" 8178 7714 6271 4967 1802 1285 2718
"45" "FBgn0000116" 49235 48204 46116 54451 33280 21431 63978
"46" "FBgn0000117" 94380 87440 100380 102045 41519 11196 26666
"47" "FBgn0000119" 1583 589 272 288 188 195 966
"48" "FBgn0000120" 1 1 0 0 0 0 0
"49" "FBgn0000121" 30 21 11 20 9 25 32
"50" "FBgn0000137" 0 0 0 0 0 0 0
"51" "FBgn0000139" 7970 6878 6318 4351 2082 1089 2441
"52" "FBgn0000140" 1908 1096 591 832 860 512 2320
"53" "FBgn0000146" 14075 13080 15204 12894 3843 1757 4528
"54" "FBgn0000147" 6220 3455 1672 766 759 633 1614
"55" "FBgn0000150" 137086 150850 146519 206799 302746 165964 116543
"56" "FBgn0000152" 1627 1335 1250 1026 644 226 560
"57" "FBgn0000153" 49 48 49 37 26 43 50
"58" "FBgn0000157" 1 1 0 0 0 0 0
"59" "FBgn0000158" 132 80 110 71 53 62 49
"60" "FBgn0000163" 523 252 142 255 287 284 1271
"61" "FBgn0000166" 0 0 0 0 0 0 0
"62" "FBgn0000173" 9932 8074 3817 6913 4356 3956 6567
"63" "FBgn0000179" 0 1 0 2 1 2 1
"64" "FBgn0000180" 81 108 52 94 81 68 50
"65" "FBgn0000181" 141204 140255 135518 158543 121035 54159 90793
"66" "FBgn0000182" 0 0 0 0 0 0 0
"67" "FBgn0000183" 11999 8982 5288 3925 2097 1734 4847
"68" "FBgn0000206" 0 0 0 0 0 0 0
"69" "FBgn0000212" 8922 5843 3682 3002 2516 2010 7024
"70" "FBgn0000216" 1 0 0 3 0 0 1
